mass_A
t	x
1.3900000000000001	0.03855024495029766
1.4000000000000001	0.03669415222467959
1.4100000000000001	0.0346717648491732
1.4200000000000002	0.032663634866565316
1.4300000000000002	0.030656282401503865
1.4400000000000002	0.028397943407643955
1.4500000000000002	0.02626448407567203
1.46	0.024344421428699886
1.47	0.02254389003053442
1.48	0.020622298047429877
1.49	0.01889796673266425
1.5	0.017225196371845164
1.51	0.015127786911575014
1.52	0.013353817739025636
1.53	0.012189758659813948
1.54	0.010285441296453035
1.55	0.00851462972948333
1.56	0.007232231109906173
1.57	0.0056084685452296446
1.58	0.004378731049289625
1.59	0.0031444473946888596
1.6	0.002082097833553953
1.61	9.250124513486557E-4
1.62	-5.798466138297043E-4
1.6300000000000003	-0.0016711635965179772
1.6400000000000001	-0.0021395576867927757
1.6500000000000001	-0.003132118489669017
1.6600000000000001	-0.004311616634258775
1.6700000000000002	-0.005118798653498541
1.6800000000000002	-0.005398042662991542
1.6900000000000002	-0.006171325809598477
1.7000000000000002	-0.006198052309340396
1.7100000000000002	-0.006711810016599928
1.72	-0.006809785607128027
1.73	-0.00725264481291521
1.74	-0.007494978139999636
1.75	-0.0073829208313552774
1.76	-0.007694725318514284
1.77	-0.007744451716290124
1.78	-0.007705788080233672
1.79	-0.007311564853997865
1.8	-0.006631486887631405
1.81	-0.0061504563627299835
1.82	-0.005597371695159253
1.83	-0.005424758097619914
1.84	-0.004774380739981432
1.85	-0.003730562672905391
1.86	-0.002616607430010104
1.87	-0.002617344191089138
1.8800000000000003	-0.0013980487535587005
1.8900000000000001	-7.523687194296025E-4
1.9000000000000001	7.557808830553903E-4
1.9100000000000001	0.0014676727105651377
1.9200000000000002	0.002675290765361188
1.9300000000000002	0.004462830894139236
1.9400000000000002	0.00520323783361748
1.9500000000000002	0.006553433469505154
1.9600000000000002	0.007959931312144564
1.9700000000000002	0.00977677232561286
1.9800000000000002	0.011161471431006265
1.99	0.012952237039580788
2.0	0.014749568346154485
2.0100000000000002	0.01672163472715746
2.02	0.018676427615537394
2.0300000000000002	0.020566724637197942
2.04	0.02237211046083737
2.0500000000000003	0.024500381772618735
2.06	0.026027587610510855
2.0700000000000003	0.027896875402851712
2.08	0.02989588474854382
2.0900000000000003	0.03181311624575947
2.1	0.033850390106000466
2.1100000000000003	0.03591330095102557
2.12	0.038410989521537486
2.13	0.04036231217603975
2.14	0.04239975457571327
2.15	0.04497522506841489
2.16	0.0470169615763773
2.17	0.04971720809938113
2.18	0.051512829585687314
2.19	0.05427336802320576
2.2	0.05621523339943474
2.21	0.05887212355996824
2.22	0.06080566057901948
2.23	0.06324593403617473
2.24	0.06515697396034126
2.25	0.06770336174395097
2.2600000000000007	0.06953630565899066
2.27	0.0719174460754709
2.2800000000000002	0.07409707469068427
2.29	0.07598733047285294
2.3000000000000003	0.0779870060338379
2.31	0.08045839525040643
2.3200000000000003	0.08256208659846337
2.33	0.08420810828757086
2.3400000000000003	0.08655409692792182
2.35	0.08810417957052219
2.3600000000000003	0.09049802853482508
2.37	0.09247925510180871
2.38	0.09437284766245041
2.39	0.09616282395480813
2.4	0.09771366093749634
2.41	0.09910923178533826
2.42	0.10071937224276029
2.43	0.10282899735842138
2.44	0.10374103131680273
2.45	0.10508936667030894
2.46	0.10643667801440859
2.47	0.10762868064127906
2.48	0.109287205949608
2.49	0.11056298438422696
2.5	0.11181609219427174
2.5100000000000007	0.11252656528940025
2.52	0.11339963269876357
2.5300000000000002	0.11422148093042367
2.54	0.11541309850276044
2.5500000000000003	0.11603278599317257
2.56	0.11678796055805457
2.5700000000000003	0.11729287056326121
2.58	0.11764873330818565
2.5900000000000003	0.11795491561458421
2.6	0.11837189492725009
2.6100000000000003	0.11894927541586531
2.62	0.11871970824882883
2.6300000000000003	0.11877577797142352
2.64	0.11895905275940277
2.65	0.1188403983577146
2.66	0.11838276911801476
2.67	0.11901025563813816
2.68	0.11815441003798827
2.69	0.11845540387649534
2.7	0.11722636484451893
2.71	0.11660406773568027
2.72	0.1158278990843854
2.73	0.11583580645171432
2.74	0.11518460921856138
2.75	0.11454824137653774
2.7600000000000007	0.11319452966267263
2.77	0.11259536239384677
2.7800000000000002	0.1110632212279698
2.79	0.11050243491796102
2.8000000000000003	0.10868785395438224
2.81	0.10814859810082589
2.8200000000000003	0.10680579754659042
2.83	0.10550097535682551
2.8400000000000003	0.10404452428531613
2.85	0.10239259707837822
2.8600000000000003	0.100305486506713
2.87	0.09865254382373012
2.8800000000000003	0.09714186806031566
2.89	0.09567591320127494
2.9000000000000004	0.09334041056762576
2.91	0.09132578176579892
2.92	0.08940130992838818
2.93	0.08737989387691364
2.94	0.08606962362065096
2.95	0.08352715636702479
2.96	0.0821417211735277
2.97	0.08023487737947277
2.98	0.07804880840246703
2.99	0.07579694209421234
3.0	0.07338338714199016
3.0100000000000007	0.07161637424646472
3.02	0.06949496788165788
3.0300000000000002	0.06671392660784353
3.04	0.06507190513335664
3.0500000000000003	0.06245080277798598
3.06	0.060850424925608715
3.0700000000000003	0.0585414063505732
3.08	0.055648342127085526
3.0900000000000003	0.05377256329659669
3.1	0.051125748356386724
3.1100000000000003	0.04941909503553793
3.12	0.04680577345238812
3.1300000000000003	0.04508014808636196
3.14	0.042981254155320614
3.1500000000000004	0.040251705713415714
3.16	0.0386497919947244
3.1700000000000004	0.03665267712583986
3.18	0.034504164479024185
3.19	0.03204274429201545
3.2	0.03008564011316925
3.21	0.0281512109896474
3.22	0.02626520175586336
3.23	0.024507128033989828
3.24	0.0225927129313791
3.25	0.021147444233989704
3.2600000000000007	0.018880256452365407
3.27	0.017130437673567728
3.2800000000000002	0.01605199278891925
3.29	0.013991720239802719
3.3000000000000003	0.012912787953840238
3.31	0.01149004887752969
3.3200000000000003	0.009957778412938073
3.33	0.008001562037706328
3.3400000000000003	0.0065875952227613666
3.35	0.005238358046084551
3.3600000000000003	0.0040745790421462535
3.37	0.0028076193274733374
3.3800000000000003	0.001719169555939759
3.39	9.835101529291623E-4
3.4000000000000004	1.442997487692277E-4
3.41	-8.041195325670936E-4
3.4200000000000004	-0.0017148596990788911
3.43	-0.002155111873043236
3.44	-0.0029468123279530467
3.45	-0.0037438975327556134
3.46	-0.004148804420230412
3.47	-0.004272317091413597
3.48	-0.004917282194720041
3.49	-0.004745578518763172
3.5	-0.004934971765581581
3.5100000000000007	-0.005132744547687446
3.52	-0.00528946876505515
3.5300000000000002	-0.00499543349754486
3.54	-0.004799603382824369
3.5500000000000003	-0.004853269763897772
3.56	-0.004189209043910069
3.5700000000000003	-0.003650425936688073
3.58	-0.003575047532945852
3.5900000000000003	-0.0030482800466389293
3.6	-0.0021821245316453186
3.6100000000000003	-0.0014215518475044764
3.62	-0.0011428949481464279
3.6300000000000003	-3.57752951855389E-4
3.64	7.552086302490824E-4
3.6500000000000004	0.0014881947239079596
3.66	0.0025768001475246494
3.6700000000000004	0.0034621517468005625
3.68	0.00494700128453282
3.6900000000000004	0.006342566406521699
3.7	0.0070758016522653455
3.71	0.009017625491076264
3.72	0.00986268450457306
3.73	0.011213787457531627
3.74	0.012824837433665581
3.75	0.01487988315356173
3.7600000000000007	0.016132478140164275
3.77	0.01747484372265723
3.7800000000000002	0.019629889832947972
3.79	0.020959953369143747
3.8000000000000003	0.02316676176138735
3.81	0.025115617327327977
3.8200000000000003	0.027148842664577455
3.83	0.02916369281633599
3.8400000000000003	0.030543746481022344
3.85	0.03290641382723011
3.8600000000000003	0.03433857692124115
3.87	0.036247057047496506
3.8800000000000003	0.03819284008514229
3.89	0.04017065697448671
3.9000000000000004	0.042062736410587054
3.91	0.044050319179933295
3.9200000000000004	0.04607421029308739
3.93	0.04841327852167332
3.9400000000000004	0.05073844653404974
3.95	0.05287220560504918
3.9600000000000004	0.05468371389527166
3.97	0.05695722091694172
3.98	0.05914467291465492
3.99	0.06121264556823952
4.0	0.06300897350109819
4.01	0.06497919288105325
4.0200000000000005	0.06698507097256268
4.03	0.0690856994046094
4.04	0.07115830360466258
4.05	0.07318189328700947
4.0600000000000005	0.07526508528609493
4.07	0.07699320606110133
4.08	0.07880820808579997
4.09	0.0806715480510527
4.1000000000000005	0.08235612896105238
4.11	0.08453100535263813
4.12	0.08619606008652314
4.13	0.08770065982780428
4.140000000000001	0.08972963987743954
4.15	0.09106564292257097
4.16	0.09296909303902101
4.17	0.09416023512670108
4.180000000000001	0.09594890111990839
4.19	0.09740173802118773
4.2	0.09875740008667167
4.21	0.09978417217780505
4.220000000000001	0.1013367974463093
4.23	0.10264702345006677
4.24	0.10362545267772705
4.25	0.10428552233040844
4.26	0.1053150650141666
4.270000000000001	0.10667584631094279
4.28	0.10694376523730259
4.29	0.10754125232910522
4.3	0.10814617898474627
4.3100000000000005	0.10927839171796772
4.32	0.10984285596383264
4.33	0.1105341008023471
4.34	0.11073828352235521
4.3500000000000005	0.11069474886716651
4.36	0.11097883705586548
4.37	0.11110988419704215
4.38	0.11181248811468286
4.390000000000001	0.11194400406840749
4.4	0.11191045767885954
